sID,s_mean,time_estimate_mean,time_revise_mean,confidence_estimate_mean,confidence_revise_mean
201,0.5212432012432012,6,7.4,3,2
202,0.5516666666666666,4.2,7,1,2
203,0.48644688644688644,6.6,8,1,2
207,0.32285714285714284,10.4,8.6,2,3
210,0.48055555555555557,5.6,7.4,2,2
215,0.2409090909090909,6.6,5.2,2,3
216,0.3273809523809524,5.666666666666667,9.333333333333334,2,3
218,0.3728352210449397,6.8,8,2,2
219,0.468986568986569,5.6,7.2,2,2
221,0.41055555555555556,4.8,7.2,2,3
223,0.32415584415584414,7.6,10.4,2,2
225,0.4027777777777778,5.25,5.75,1,2
226,0.3277777777777778,5.8,7.4,4,3
229,0.4327731092436975,7.6,8.2,2,2
232,0.4967948717948718,9.25,9.75,2,3
236,0.2449055330634278,6.2,6.4,1,2
237,0.4898834498834499,6,10.8,3,3
238,0.30696969696969695,5.8,6.8,2,2
243,0.3221611721611722,10.4,8.6,3,2
244,0.44705516705516707,7.8,7.6,2,1
245,0.5904761904761905,6.4,8,1,3
246,0.3884848484848485,5,6.8,2,2
247,0.4121651295564339,10.2,8.4,1,2
249,0.28525641025641024,4.8,5.6,2,2
250,0.45291125541125543,4.2,6,2,3
252,0.3390151515151515,6,13,2,2
253,0.45874125874125876,4.4,5.6,3,3
255,0.4358119658119658,5,9.8,1,1
263,0.33090909090909093,4,6.8,2,3
269,0.3275213675213675,8.8,9.6,1,1
271,0.38630952380952377,4.8,5.4,2,2
272,0.2742420814479638,11.8,6,3,3
274,0.3630952380952381,3.8,7,2,3
285,0.13999999999999999,5.2,6.8,2,3
287,0.48916666666666664,7.2,9.6,2,3
288,0.5302564102564102,5.8,8,2,2
291,0.16666666666666669,4,4.4,3,3
292,0.5038961038961038,6,6.6,1,2
297,0.5732844932844933,7.2,9,3,3
306,0.48,6.6,5.6,1,2
307,0.4134310134310134,7.6,8.4,3,2
308,0.3467091731797614,6.8,9.2,1,2
315,0.2833333333333333,5.4,5.2,3,2
320,0.5004329004329005,6.8,7.8,1,2
322,0.46736596736596736,5.8,8.4,3,4
323,0.26685314685314687,5.2,6.8,2,3
329,0.5375757575757576,5.2,8.4,2,2
331,0.2823809523809524,7.6,7.4,2,2
332,0.2163003663003663,6.8,6.4,2,2
333,0.36891025641025643,5.75,9.5,2,3
335,0.24731934731934732,7.2,6.4,2,2
336,0.41410256410256413,5.8,7,3,2
337,0.16666666666666666,5.4,10.6,2,2
338,0.423992673992674,6.2,8.4,3,2
339,0.3957015207015207,4.6,5.8,2,3
340,0.5026980372568608,4,9.4,1,3
341,0.35047619047619044,4.4,8.2,3,4
342,0.1,14.8,7.8,2,3
343,0.6076923076923076,6.4,8.2,2,3
344,0.4392385392385392,4.8,6.6,1,2
345,0.32783216783216784,4.4,9.6,1,2
346,0.3073109243697479,9,8.4,3,2
353,0.19948717948717948,5.2,7.4,1,1
355,0.11964285714285713,9.2,11,2,2
358,0.5271173271173272,7,7.6,1,2
360,0.6109362859362859,4.4,6,1,2
363,0.3629148629148629,10.4,10.6,2,3
364,0.27666666666666667,6.2,10.4,3,2
366,0.3126784326784327,3,4.6,2,2
