sID,trial,n_animals,estimate,social_info,estimate_revised,time_estimate,time_revise,confidence_estimate,confidence_revise,bonus_amount,s
201,1,93,67,80,68,10,12,3,2,0.4,0.07692307692307693
201,2,78,88,70,74,7,8,3,2,0.4,0.7777777777777778
201,3,59,77,62,68,5,8,3,2,0.4,0.6
201,4,74,53,64,62,4,5,3,2,0.4,0.8181818181818182
201,5,69,47,56,50,4,4,3,2,0.4,0.3333333333333333
202,1,93,25,30,28,4,11,1,2,0.05,0.6
202,2,78,30,36,35,3,8,1,2,0.05,0.8333333333333334
202,3,59,40,48,45,4,4,1,2,0.05,0.625
202,4,74,50,60,55,4,8,1,2,0.05,0.5
202,5,69,48,58,50,6,4,1,2,0.05,0.2
203,1,93,48,58,50,5,7,1,2,0,0.2
203,2,78,64,77,69,6,10,1,2,0,0.38461538461538464
203,3,59,61,49,57,9,7,1,2,0,0.3333333333333333
203,4,74,72,86,82,9,10,1,2,0,0.7142857142857143
203,5,69,73,58,61,4,6,1,2,0,0.8
207,1,93,52,62,56,20,13,2,3,1,0.4
207,2,78,73,88,76,6,8,2,3,1,0.2
207,3,59,62,50,58,11,7,2,3,1,0.3333333333333333
207,4,74,69,83,72,8,5,2,3,1,0.21428571428571427
207,5,69,76,61,69,7,10,2,3,1,0.4666666666666667
210,1,93,40,48,45,7,9,2,2,0.55,0.625
210,2,78,45,54,50,5,10,2,2,0.55,0.5555555555555556
210,3,59,45,54,50,8,6,2,2,0.55,0.5555555555555556
210,4,74,60,72,65,4,6,2,2,0.55,0.4166666666666667
210,5,69,60,72,63,4,6,2,2,0.55,0.25
215,1,93,50,60,55,17,9,2,3,0.8,0.5
215,2,78,55,66,60,4,5,2,3,0.8,0.45454545454545453
215,3,59,50,60,50,5,5,2,3,0.8,0
215,4,74,62,74,65,3,3,2,3,0.8,0.25
215,5,69,65,78,65,4,4,2,3,0.8,0
216,1,93,50,60,50,6,9,2,3,0.45,0
216,2,78,70,84,75,7,9,2,3,0.45,0.35714285714285715
216,3,59,40,48,45,4,10,2,3,0.45,0.625
218,1,93,89,110,100,9,14,2,2,1,0.5238095238095238
218,2,78,115,92,103,6,6,2,2,1,0.5217391304347826
218,3,59,74,59,69,7,6,2,2,1,0.3333333333333333
218,4,74,78,62,74,7,5,2,2,1,0.25
218,5,69,83,66,79,5,9,2,2,1,0.23529411764705882
219,1,93,45,54,50,10,11,2,2,0.6,0.5555555555555556
219,2,78,65,78,70,4,8,2,2,0.6,0.38461538461538464
219,3,59,70,56,65,4,5,2,2,0.6,0.35714285714285715
219,4,74,75,60,70,4,4,2,2,0.6,0.3333333333333333
219,5,69,70,56,60,6,8,2,2,0.6,0.7142857142857143
221,1,93,40,48,43,6,13,2,3,0.5,0.375
221,2,78,50,60,54,5,5,2,3,0.5,0.4
221,3,59,45,54,49,5,8,2,3,0.5,0.4444444444444444
221,4,74,60,72,65,4,5,2,3,0.5,0.4166666666666667
221,5,69,60,72,65,4,5,2,3,0.5,0.4166666666666667
223,1,93,75,90,79,13,26,2,2,0.3,0.26666666666666666
