participantID,Index,ID,level,absColorDiff,colorSequence,accuracy,blueFlipped,yellowFlipped,boxesFlipped,boardDifficulty,discriminationError,masterTrialID,conditionTrialID,pNew,pOld,trialRT
201,54601087,200840,High,5,"[2,2,2,1,2,2,2]",1,6,1,7,7,0,3,1,0.984897025,0.881057739,30601.8
201,54601117,200840,High,4,"[2,1,1,2,1,1,1,2,1,1]",1,3,7,10,6,0,5,2,0.944649347,0.849121094,29572.2
201,54601185,200840,High,9,"[2,1,2,2,2,2,2,2,2,2,2]",1,10,1,11,3,0,9,3,0.99989366,0.993530273,34563.4
201,54601236,200840,High,5,"[1,1,2,1,2,1,1,2,1,1,1]",1,3,8,11,8,0,12,4,0.976410015,0.910217285,33412.6
201,54601283,200840,High,3,"[1,1,1,1,2,1,2,2,1,2,2,1,1]",1,5,8,13,4,0,14,5,0.881128012,0.806152344,38776.8
201,54601350,200840,High,3,"[1,1,2,1,2,2,2,1,1,1,1,2,1]",1,5,8,13,101,0,18,6,0.881128012,0.806152344,39741.4
201,54601368,200840,High,6,"[1,2,1,2,2,2,2,2,2,2]",1,8,2,10,9,0,19,7,0.992290349,0.940765381,38547.6
201,54601106,200840,Medium,1,"[2,1,2,2,1,1,2,2,1]",1,5,4,9,9,0,4,1,0.655916005,0.598190308,13916.1
201,54601218,200840,Medium,5,"[1,2,2,2,1,2,2,1,2,2,1,2,2,1,2]",1,10,5,15,102,0,10,2,0.979297348,0.9453125,19454.7
201,54601225,200840,Medium,3,"[1,1,1,1,2,1,1,2,2,1,2,1,2,2,1]",1,6,9,15,8,0,11,3,0.886902679,0.828125,21335.3
201,54601249,200840,Medium,4,"[2,1,1,2,2,2,1,1,1,1,1,1]",1,4,8,12,4,0,13,4,0.942380728,0.866577148,12820.5
201,54601290,200840,Medium,7,"[2,2,2,2,2,2,1,1,1,2,2,2,2]",1,10,3,13,3,0,15,5,0.997583793,0.980712891,13391.9
201,54601329,200840,Medium,7,"[1,1,1,1,1,1,2,1,1,1,2]",1,2,9,11,6,0,17,6,0.997583793,0.971313477,12117.1
201,54601391,200840,Medium,8,"[2,2,2,2,2,2,2,2,2,1]",1,9,1,10,7,0,20,7,0.999508682,0.982421875,12019.6
201,54601059,200840,Low,1,"[2,1,2,1,1,1,2,2,1]",1,4,5,9,8,0,1,1,0.655916005,0.598190308,21135.4
201,54601076,200840,Low,4,"[1,2,1,1,1,1,2,2,1,1]",1,3,7,10,6,0,2,2,0.944649347,0.849121094,12851.9
201,54601142,200840,Low,8,"[2,1,2,2,2,2,2,2,2,2]",1,9,1,10,3,0,6,3,0.999508682,0.982421875,6631.3
201,54601168,200840,Low,4,"[2,2,1,1,2,1,2,1,1,1,1]",1,4,7,11,101,0,7,4,0.944649347,0.849121094,7789.7
201,54601171,200840,Low,3,"[2,1,1,1,1,1,1,2,1,2]",1,3,7,10,4,0,8,5,0.881128012,0.788024902,5044.3
201,54601312,200840,Low,5,"[2,2,1,1,2,2,2,1,2,1,2,2,2]",1,9,4,13,7,0,16,6,0.976410015,0.927001953,7612.9
201,54601393,200840,Low,4,"[1,2,2,2,2,2,1,2,2,1,1,2,2,1]",1,9,5,14,9,0,21,7,0.944649347,0.88671875,7069.9
202,54538158,200532,High,9,"[1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1]",1,4,13,17,6,0,5,1,1,1,61516.5
202,54538204,200532,High,9,"[2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2]",1,13,4,17,7,0,7,2,1,1,60056.6
202,54538252,200532,High,7,"[2,2,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2]",1,13,6,19,9,0,10,3,1,1,62374.9
202,54538330,200532,High,10,"[2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2]",1,14,4,18,3,0,14,4,1,1,58125.7
202,54538381,200532,High,6,"[2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1]",1,7,13,20,101,0,17,5,1,1,66204.8
