sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
3,1,1,prac,65,1,55,50,2,7.09582910999984,2.40296201000001,4.31708044999982,0.625,0.6,5,0,1.9,1 1 1 1 1,1 1 1 0 0,0 0 0 1 1
3,2,2,prac,90,3,90,74,1,4.48012600999994,2.720214310000074,3.75228755000001,0.875,0.8666666666666667,45,0,1.7,9 9 9 9 9,8 6 9 8 8,1 3 0 1 1
3,3,3,prac,44,1,30,2,1,12.04616341,1.8703820099999575,7.84979016,0.5,0.4,5,1,1.9,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1
3,4,4,prac,53,1,60,70,1,3.74628200999996,2.6365818099999387,3.82675046000008,0.625,0.6,5,0,1.5,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0
3,5,5,prac,40,1,27,22,1,5.94547010999986,1.6696315099998174,7.66306046000022,0.375,0.4,5,0,1.7,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1
3,6,6,prac,70,1,90,85,3,4.43003671000019,2.2201214100002744,8.11638416000005,0.875,0.8,5,0,1.7,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0
3,7,7,prac,80,2,80,80,3,7.56379081,1.986840610000172,2.93155386000012,0.875,0.8,5,1,1.6,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
3,8,8,prac,65,1,55,50,3,8.21287960999985,2.6532218100001046,6.75155214999995,0.625,0.6,5,0,1.9,1 1 1 1 1,0 0 1 1 1,1 1 0 0 0
3,9,9,prac,58,2,75,76,3,6.36213111000006,1.9535386100001233,7.68373674999975,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,6 7 7 4 4,3 2 2 5 5
3,10,10,prac,99,3,99,99,3,3.81256490999999,2.15383240999995,3.41742805000013,1,1,45,1,1.7,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
3,11,11,prac,55,2,60,70,1,3.2803546099999,1.6358029099999385,5.18541845000004,0.625,0.6222222222222222,45,0,1.7,9 9 9 9 9,5 5 7 6 5,4 4 2 3 4
3,12,12,prac,43,2,33,28,3,6.19619940999974,1.5170440100000633,10.4880509499999,0.375,0.37777777777777777,45,0,1.5,9 9 9 9 9,1 3 6 5 2,8 6 3 4 7
3,13,13,prac,54,2,64,70,2,5.91286421000018,1.7533899099996688,8.71801214999982,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,8 5 4 6 5,1 4 5 3 4
3,14,14,prac,10,3,12,27,1,6.61193851000007,2.153187010000238,3.11933004999992,0.125,0.13333333333333333,45,0,1.6,9 9 9 9 9,3 0 2 1 0,6 9 7 8 9
3,15,15,prac,20,2,12,5,1,7.23040231000027,1.6520389100001012,4.48284975999991,0.125,0.2,5,0,1.9,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0
6,1,1,prac,75,1,65,59,3,5.9134199300006,2.318134729999656,6.66012277999835,0.625,0.6,5,0,2,1 1 1 1 1,0 1 1 1 0,1 0 0 0 1
6,2,2,prac,90,3,90,75,2,4.69709413000055,2.4370108300008724,8.05823507999776,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,8 8 7 8 8,1 1 2 1 1
6,3,3,prac,60,2,60,75,2,6.74529043000075,3.2533312300001853,4.82905808000032,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,4 6 6 8 4,5 3 3 1 5
6,4,4,prac,40,1,30,25,2,5.62906163000116,1.60342533000221,4.56469577999997,0.375,0.4,5,0,1.8,1 1 1 1 1,0 1 1 0 0,1 0 0 1 1
6,5,5,prac,35,2,45,53,1,7.0136282300009,1.985740430001897,8.39347117999932,0.375,0.37777777777777777,45,0,1.8,9 9 9 9 9,3 5 3 4 2,6 4 6 5 7
6,6,6,prac,55,2,55,70,1,6.29642393000177,1.5703009300013946,4.53052887999911,0.625,0.6222222222222222,45,0,2,9 9 9 9 9,4 8 3 6 7,5 1 6 3 2
6,7,7,prac,70,1,65,55,2,5.34639973000048,2.1198206300014135,8.56387478000033,0.625,0.6,5,0,2,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0
6,8,8,prac,85,1,93,99,2,6.27956873000039,4.334867930001565,11.1965423799993,0.875,0.8,5,0,2,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
6,9,9,prac,8,1,17,24,2,4.57928813000217,1.7355205300027592,4.28311154999938,0.125,0.2,5,0,1.6,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1
6,10,10,prac,93,1,93,94,2,5.91290483000012,3.2188343300003908,3.9946883800003,0.875,0.8,5,1,1.9,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
6,11,11,prac,5,3,6,20,2,3.26393763000124,2.717497630001162,3.42569337999885,0.125,0.13333333333333333,45,0,1.9,9 9 9 9 9,0 2 1 2 1,9 7 8 7 8
6,12,12,prac,60,1,60,75,1,5.71382642999924,2.8531704300003184,4.86478397999963,0.625,0.6,5,0,1.7,1 1 1 1 1,1 1 0 0 1,0 0 1 1 0
6,13,13,prac,40,1,40,82,1,4.84538803000032,2.103510130000359,12.6637443799991,0.5,0.4,5,1,1.7,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1
6,14,14,prac,99,3,99,98,3,3.67966973000148,1.985698129999946,4.85870127999806,1,1,45,1,2,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
6,15,15,prac,67,2,62,51,3,5.01325842999904,1.5687113300027704,5.96412068000063,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,4 5 7 7 5,5 4 2 2 4
8,1,1,prac,80,3,80,65,1,19.346490910000284,4.2679733099998884,16.995924060000107,0.625,0.6,5,0,1.8,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0
8,2,2,prac,80,NA,0,83,2,[],NA,[],0.625,0.6,5,0,1.6,1 1 1 1 1,1 0 1 1 0,0 1 0 0 1
8,3,3,prac,62,2,67,77,3,8.728352409999843,2.8688955099996747,5.72217615999989,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,4 5 7 6 6,5 4 2 3 3
8,4,4,prac,33,2,40,50,2,6.763351409999814,1.6022972099999606,10.093603360000088,0.375,0.37777777777777777,45,0,1.9,9 9 9 9 9,3 5 3 1 5,6 4 6 8 4
8,5,5,prac,20,3,20,19,2,7.295199010000033,1.952796009999929,3.527312660000007,0.5,0.4,5,1,1.8,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1
8,6,6,prac,25,3,25,9,2,14.278168209999421,3.169209110000338,6.492730859999938,0.125,0.13333333333333333,45,0,1.5,9 9 9 9 9,1 0 3 1 1,8 9 6 8 8
8,7,7,prac,88,2,85,73,2,6.962300409999898,2.303741810000247,8.452988949999963,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,7 8 8 8 8,2 1 1 1 1
