sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating,alpha_5,alpha_45,theta_IC,theta_slope,staybias,perceived_blue,perceived_red,other_blue,other_red,stayBias_modulated,KLd
3,1,1,1,80,75,63,2,6.957925550001164,5.47371799999746,0.75,0.7555555555555555,45,0,4.4,9 9 9 9 9,7 4 8 9 6,2 5 1 0 3,0.29411764705882354,compromise,2.4285714285714284,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,199.08734899941288,49.77183724985321,103.80274444553802,60.9635165791255,1e-4,3.0956810223236033
3,2,2,1,12,25,29,3,6.070109849999426,6.07616434999727,0.125,0.2,5,0,4.9,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.7647058823529411,compromise,1.25,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,13.57557801651066,99.55423878774484,85.66319251658344,209.72712650611808,1.0000000000000002e-6,5.455015095736947
3,3,3,1,40,30,22,3,6.178626750001058,5.00722549999773,0.375,0.4,5,0,5.2,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,0.5555555555555556,compromise,1.25,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,45.2519267217022,67.8778900825533,64.98587018499434,230.4044488377072,1.0000000000000002e-6,4.818923682355094
3,4,4,1,5,10,23,2,2.5116342500004976,2.35367739999674,0.125,0.13333333333333333,45,0,5.3,9 9 9 9 9,4 0 0 1 1,5 9 9 8 8,0.2777777777777778,compromise,2.4285714285714284,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,12.442959312463305,236.41622693680281,37.89624003567261,126.87002098899092,1e-4,7.289555230110065
3,5,5,1,10,15,25,2,4.307809850000922,2.90853574999892,0.125,0.2,5,0,5,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.3333333333333333,compromise,1.25,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,11.31298168042555,101.81683512382995,41.19156525616588,123.57469576849763,1e-4,3.357798725330827
3,6,6,1,85,82,70,1,7.482805749999898,4.59246679999887,0.75,0.8,5,0,5.8,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.2,compromise,1.25,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,96.16034428361716,16.969472520638327,23.89954211863785,10.242660907987652,0.01,0.4673378022419111
3,7,7,1,45,44,30,1,5.369987550000587,3.41889304999859,0.375,0.37777777777777777,45,0,5.2,9 9 9 9 9,1 5 3 7 1,8 4 6 2 8,0.06666666666666667,compromise,2.4285714285714284,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,111.98663381216976,136.87255243709637,10.24266090798765,23.89954211863785,0.01,0.169393905750081
3,8,8,1,15,10,1,1,3.8160925499996665,6.12523849999889,0.125,0.2,5,0,5.8,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.35714285714285715,compromise,1.25,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,16.969472520638323,96.16034428361716,0.341422030266255,33.800780996359244,0.01,0.5609326283832309
3,9,9,1,0,0,1,3,4.880070049997812,3.43833909999739,0,0,45,1,5.3,9 9 9 9 9,0 0 0 0 0,9 9 9 9 9,0,stay,2.4285714285714284,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,0,248.85918624926612,2.9539031902270154,292.4364158324745,1.0000000000000002e-6,2.5252627086345005
3,10,10,1,50,25,3,2,3.5831457500007677,7.36147489999894,0.5,0.4888888888888889,45,1,4.8,9 9 9 9 9,3 6 4 3 6,6 3 5 6 3,0.5319148936170213,compromise,2.4285714285714284,22.6259633608511,5.5302041388725804,34.1422030266255,130.624057998038,0.01,124.42959312463306,124.42959312463306,4.942987830739906,159.8232731939236,1e-4,18.828969490955537
