sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
3,1,1,1,80,75,63,2,6.957925550001164,5.47371799999746,0.75,0.7555555555555555,45,0,4.4,9 9 9 9 9,7 4 8 9 6,2 5 1 0 3,0.29411764705882354,compromise,2.4285714285714284
3,2,2,1,12,25,29,3,6.070109849999426,6.07616434999727,0.125,0.2,5,0,4.9,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.7647058823529411,compromise,1.25
3,3,3,1,40,30,22,3,6.178626750001058,5.00722549999773,0.375,0.4,5,0,5.2,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,0.5555555555555556,compromise,1.25
3,4,4,1,5,10,23,2,2.5116342500004976,2.35367739999674,0.125,0.13333333333333333,45,0,5.3,9 9 9 9 9,4 0 0 1 1,5 9 9 8 8,0.2777777777777778,compromise,2.4285714285714284
3,5,5,1,10,15,25,2,4.307809850000922,2.90853574999892,0.125,0.2,5,0,5,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.3333333333333333,compromise,1.25
3,6,6,1,85,82,70,1,7.482805749999898,4.59246679999887,0.75,0.8,5,0,5.8,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.2,compromise,1.25
3,7,7,1,45,44,30,1,5.369987550000587,3.41889304999859,0.375,0.37777777777777777,45,0,5.2,9 9 9 9 9,1 5 3 7 1,8 4 6 2 8,0.06666666666666667,compromise,2.4285714285714284
3,8,8,1,15,10,1,1,3.8160925499996665,6.12523849999889,0.125,0.2,5,0,5.8,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.35714285714285715,compromise,1.25
3,9,9,1,0,0,1,3,4.880070049997812,3.43833909999739,0,0,45,1,5.3,9 9 9 9 9,0 0 0 0 0,9 9 9 9 9,0,stay,2.4285714285714284
3,10,10,1,50,25,3,2,3.5831457500007673,7.36147489999894,0.5,0.4888888888888889,45,1,4.8,9 9 9 9 9,3 6 4 3 6,6 3 5 6 3,0.5319148936170213,compromise,2.4285714285714284
3,11,11,1,20,24,75,1,6.011816649997854,2.76711409999916,0.25,0.24444444444444444,45,1,5.1,9 9 9 9 9,2 3 4 0 2,7 6 5 9 7,0.07272727272727272,compromise,2.4285714285714284
3,12,12,1,10,12,25,1,2.6049555499994312,2.04249554999842,0.25,0.24444444444444444,45,0,4.1,9 9 9 9 9,3 3 2 2 1,6 6 7 7 8,0.13333333333333333,compromise,2.4285714285714284
3,13,13,1,25,33,40,2,5.788340650000464,6.79407399999764,0.375,0.4,5,0,4.5,1 1 1 1 1,0 0 1 1 0,1 1 0 0 1,0.5333333333333333,compromise,1.25
3,14,14,1,90,80,72,2,6.755124549999891,6.66978849999941,0.75,0.8,5,0,5.5,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.5555555555555556,compromise,1.25
