sID,nTotal,confidence_peer,s
201,5,1,0.1865546218487395
201,5,2,0.364437441643324
201,5,3,0.6287763253449528
201,45,1,0.21533613445378152
201,45,2,0.3994644153957879
201,45,3,0.5037683823529412
203,5,1,0.2886846405228758
203,5,2,0.4283513405362145
203,5,3,0.6852249874308698
203,45,1,0.05960988562091503
203,45,2,0.26238328664799254
203,45,3,0.4852124183006536
207,5,1,0.4578794480755265
207,5,2,0.6329411764705882
207,5,3,0.7518954248366013
207,45,1,0.20943313222724988
207,45,2,0.5167892156862745
207,45,3,0.5373366013071895
210,5,1,0.4223529411764706
210,5,2,0.4881699346405229
210,5,3,0.46326797385620916
210,45,1,0.30683760683760686
210,45,2,0.39436337355455003
210,45,3,0.3417339115133233
218,5,1,0.11416433239962652
218,5,2,0.363234126984127
218,5,3,0.8180555555555555
218,45,1,0.07208333333333333
218,45,2,0.31523692810457515
218,45,3,0.793218954248366
219,5,1,0.19993645606390706
219,5,2,0.4917483660130719
219,5,3,0.6168790849673202
219,45,1,0.08223039215686274
219,45,2,0.4412037037037037
219,45,3,0.4880718954248366
221,5,1,0.13125
221,5,2,0.18125
221,5,3,0.2854901960784314
221,45,1,0.20634531590413943
221,45,2,0.23176358862633373
221,45,3,0.5098774509803922
223,5,1,0.17519607843137255
223,5,2,0.3545506535947712
223,5,3,0.4986274509803922
223,45,1,0.2586029411764706
223,45,2,0.46053571428571427
223,45,3,0.5013373554550025
225,5,1,0
225,5,2,0.21791666666666665
225,5,3,0.46034313725490195
225,45,1,0.0125
225,45,2,0.2337173202614379
225,45,3,0.4907843137254902
226,5,1,0
226,5,2,0.05555555555555556
226,5,3,0
226,45,1,0.1502777777777778
226,45,2,0.3202614379084967
226,45,3,0.41523225957049487
229,5,1,0.2378982843137255
229,5,2,0.1370098039215686
229,5,3,0.1170016339869281
229,45,1,0.16540032679738562
229,45,2,0.11388134741075917
229,45,3,0.14023692810457516
232,5,1,0.08333333333333333
232,5,2,0.00625
232,5,3,0.0682643427741467
232,45,1,0.12421218487394958
232,45,2,0.18518518518518517
232,45,3,0.18379901960784314
236,5,1,0.0392156862745098
236,5,2,0.613362381989833
236,5,3,0.6305555555555555
236,45,1,0
236,45,2,0.15555555555555556
236,45,3,0.28802083333333334
237,5,1,0.2375
237,5,2,0.43716412490922296
237,5,3,0.5243545751633987
237,45,1,0.25798838053740014
237,45,2,0.42463360985419807
237,45,3,0.5635997988939165
238,5,1,0.18287037037037035
238,5,2,0.4176797385620915
238,5,3,0.6254901960784314
238,45,1,0.05092592592592592
238,45,2,0.1388888888888889
238,45,3,0.5046965452847806
243,5,1,0.4095690359477124
243,5,2,0.3463643790849673
243,5,3,0.5352124183006536
243,45,1,0.27627450980392154
243,45,2,0.3400081699346405
243,45,3,0.2837301587301587
244,5,1,0.49799019607843137
244,5,2,0.6695588235294118
244,5,3,0.928562091503268
244,45,1,0.02222222222222222
244,45,2,0.24622367465504721
244,45,3,0.31529593318809007
245,5,1,0.47451797385620914
245,5,2,0.6812745098039216
245,5,3,0.9686519607843137
245,45,1,0.0868627450980392
245,45,2,0.41573529411764704
245,45,3,0.5095588235294117
247,5,1,0.022222222222222223
247,5,2,0.18663398692810457
247,5,3,0.22950980392156864
247,45,1,0
247,45,2,0.18068264342774146
247,45,3,0.38450980392156864
249,5,1,0.44607843137254904
249,5,2,0.5344226579520697
249,5,3,0.5892892156862745
249,45,1,0.26429738562091504
249,45,2,0.476593137254902
249,45,3,0.4996171802054155
250,5,1,0.1071813725490196
250,5,2,0.4534313725490196
250,5,3,0.6895833333333333
250,45,1,0.040277777777777773
250,45,2,0.3652696078431372
250,45,3,0.4267075163398693
252,5,1,0
252,5,2,0.01111111111111111
252,5,3,0
252,45,1,0.015165441176470588
252,45,2,0.22705065359477125
252,45,3,0.20649509803921567
253,5,1,0.17133520074696545
253,5,2,0.19305555555555556
253,5,3,0.08888888888888889
253,45,1,0.27708333333333335
253,45,2,0.28394607843137254
253,45,3,0.29027777777777775
255,5,1,0.48919117647058824
255,5,2,0.631062091503268
255,5,3,0.707312091503268
255,45,1,0.38053949500027934
255,45,2,0.4590032679738562
255,45,3,0.6925848416289593
263,5,1,0.28854575163398694
263,5,2,0.3895588235294118
263,5,3,0.37407407407407406
263,45,1,0.1796078431372549
263,45,2,0.3280882352941176
263,45,3,0.5268700072621642
269,5,1,0.14107843137254902
