sID,nTotal,confidence_rating
201,5,2.375
201,45,2
202,5,2.75
202,45,2.5714285714285716
203,5,1.875
203,45,2.142857142857143
207,5,2.25
207,45,2.4285714285714284
210,5,2.75
210,45,2
215,5,3
215,45,2.2857142857142856
216,5,2.5
216,45,2
218,5,2.75
218,45,2.142857142857143
219,5,2.125
219,45,2.2857142857142856
221,5,3
221,45,2.7142857142857144
223,5,2.375
223,45,1.4285714285714286
225,5,3
225,45,2.25
226,5,2.875
226,45,2.2857142857142856
229,5,2.25
229,45,2.4285714285714284
232,5,2
232,45,1.8571428571428572
236,5,1.125
236,45,2.2857142857142856
237,5,1.125
237,45,1.8571428571428572
238,5,1
238,45,2.7142857142857144
243,5,1.375
243,45,2.5714285714285716
244,5,2
244,45,1.8571428571428572
245,5,1
245,45,2.7142857142857144
246,5,2.875
246,45,2.2857142857142856
247,5,2.25
247,45,2.5714285714285716
249,5,2.75
249,45,2.4285714285714284
250,5,1.25
250,45,2.4285714285714284
252,5,2.25
252,45,2
253,5,3
253,45,2.5714285714285716
255,5,1
255,45,2
263,5,3
263,45,2.142857142857143
269,5,2.875
269,45,1.7142857142857142
271,5,2.5
271,45,1.7142857142857142
272,5,1.875
272,45,1.4285714285714286
274,5,1.5
274,45,2.4285714285714284
285,5,1.375
285,45,2.4285714285714284
287,5,1
287,45,2.4285714285714284
288,5,1.625
288,45,2.1666666666666665
291,5,1.25
291,45,2.4285714285714284
292,5,1
292,45,2.7142857142857144
297,5,3
297,45,2.4285714285714284
306,5,2.142857142857143
306,45,1.7142857142857142
307,5,2.25
307,45,2.5714285714285716
308,5,1.1428571428571428
308,45,2.142857142857143
315,5,2.75
315,45,1.7142857142857142
320,5,1.625
320,45,2.2857142857142856
322,5,2.375
322,45,2.857142857142857
323,5,1.25
323,45,2
324,5,2
324,45,2
329,5,2
329,45,2.142857142857143
331,5,1.5
331,45,1.2857142857142858
332,5,1
332,45,1.4285714285714286
333,5,2.125
333,45,2.7142857142857144
335,5,2
335,45,2
336,5,2
336,45,2.142857142857143
337,5,2.125
337,45,2.142857142857143
338,5,2
338,45,2.7142857142857144
339,5,1
339,45,2.2857142857142856
340,5,3
340,45,1.8333333333333333
341,5,2.75
341,45,2.1666666666666665
342,5,2.25
342,45,2.4285714285714284
343,5,1
343,45,2.2857142857142856
344,5,1.75
344,45,2.2857142857142856
345,5,1
345,45,2.4285714285714284
346,5,1
346,45,2.4285714285714284
353,5,1.625
353,45,2.7142857142857144
355,5,3
355,45,2.142857142857143
358,5,2
358,45,1.7142857142857142
360,5,2.625
360,45,2.2857142857142856
363,5,2.125
363,45,2.142857142857143
364,5,2.857142857142857
364,45,2.1666666666666665
366,5,2.875
366,45,1.7142857142857142
