sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
201,1,1,prac,80,3,80,97,1,12.8727320200001,2.291374260000339,3.11263154000017,0.875,0.8,5,0,1.9,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
201,2,2,prac,90,2,85,72,2,3.50131691999968,1.7412249600001815,9.42339002000017,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,7 8 9 7 8,2 1 0 2 1
201,3,3,prac,40,3,40,55,1,4.26074001999996,1.6988806600002135,7.59771391999993,0.625,0.6,5,0,1.5,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1
201,4,4,prac,80,3,80,11,1,7.05178982000007,1.8496859599995332,5.02266121999992,0.875,0.8,5,1,1.8,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0
201,5,5,prac,95,2,95,95,3,4.9140700199996,1.6876870599994618,4.74787853999987,1,1,45,1,1.5,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
201,6,6,prac,40,2,40,24,1,6.49678931999961,2.52382716000011,4.65553743999999,0.375,0.37777777777777777,45,0,1.5,9 9 9 9 9,6 4 3 1 3,3 5 6 8 6
201,7,7,prac,15,2,10,1,3,4.3160244200003,1.9383241599998655,2.80700313999932,0.125,0.13333333333333333,45,0,1.8,9 9 9 9 9,1 2 2 1 0,8 7 7 8 9
201,8,8,prac,60,2,65,75,2,8.39703131999977,2.323910860000069,6.69250934000002,0.625,0.6,5,0,1.7,1 1 1 1 1,0 1 1 1 0,1 0 0 0 1
201,9,9,prac,55,2,62,70,2,4.80488981999997,2.3912303600004634,3.95343711999976,0.625,0.6222222222222222,45,0,2,9 9 9 9 9,6 6 5 6 5,3 3 4 3 4
201,10,10,prac,40,2,40,38,2,4.62537591999944,1.738506359999974,2.85178943999972,0.5,0.4,5,1,2,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1
201,11,11,prac,70,2,60,55,3,4.11275621999948,1.987638760000209,9.20955351999964,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,4 6 5 7 6,5 3 4 2 3
201,12,12,prac,40,2,33,25,3,4.20970502,2.0906578599997374,7.66474653999967,0.375,0.4,5,0,1.7,1 1 1 1 1,1 0 1 0 0,0 1 0 1 1
201,13,13,prac,60,2,72,77,3,4.35484151999981,1.9763553599996158,3.93941622000011,0.625,0.6,5,0,1.7,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1
201,14,14,prac,20,2,20,2,1,4.38269702000025,1.9383336599998984,2.95983332000014,0.125,0.2,5,0,1.7,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0
201,15,15,prac,60,2,63,77,1,8.6137008200003,1.923915560000296,3.46421271999998,0.625,0.6222222222222222,45,0,1.5,9 9 9 9 9,7 4 4 6 7,2 5 5 3 2
202,1,1,prac,59,2,66,77,1,13.2393644199999,1.714545459999954,10.9757134399999,0.625,0.6,5,0,1.6,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0
202,2,2,prac,45,3,0,27,1,8.39997212000003,1.75322656000003,2.04205093999963,0.375,0.37777777777777777,45,0,1.6,9 9 9 9 9,0 2 6 3 6,9 7 3 6 3
