sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating,alpha_5,alpha_45,theta_IC,theta_slope,staybias,perceived_blue,perceived_red,other_blue,other_red,SD_beta,SD_beta_other,SD_posterior,stayBias_modulated,KLd
201,1,1,1,8,10,25,2,10.974436329999662,8.17629898999985,0.125,0.13333333333333333,45,0,4.7,9 9 9 9 9,0 1 0 1 4,9 8 9 8 5,0.11764705882352941,compromise,2,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,5.657670920605212,65.06321558695993,11.732477394483325,35.197432183449976,0.033588188187072696,0.06209269866289911,0.03283464144289767,0.07622831861991287,1.4131058203027322
201,2,2,1,40,64,85,2,7.84943192999981,8.91695833999984,0.375,0.4,5,1,5.1,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1,0.5333333333333333,compromise,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,16.54293283698482,24.814399255477234,39.8904231412433,7.039486436689996,0.07369480129170221,0.0524409019689126,0.05035516695967579,0.07622831861991287,4.927398609024023
201,3,3,1,47,47,65,1,3.044386130000021,14.1582665999995,0.625,0.6222222222222222,45,0,5.7,9 9 9 9 9,8 7 4 5 4,1 2 5 4 5,0,stay,2,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,33.23881665855562,37.482069849009534,18.02091511425283,9.703569676905369,0.05813452735713205,0.08660109505486022,0.04960167647535886,0.276094763840086,0.3835021910213205
201,4,4,1,21,31,38,3,15.967364029999771,11.1131365400006,0.25,0.2,5,0,5.4,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.5882352941176471,compromise,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,8.685039739417032,32.67229235304502,25.131427058589193,41.00390730611921,0.06253768285030518,0.05847954489855404,0.04430285282865811,0.021046239627291675,1.1997232242991716
201,5,5,1,96,96,96,3,4.366205629999968,4.2390784399995,1,1,5,1,4.4,1 1 1 1 1,1 1 1 1 1,0 0 0 0 0,NA,NA,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,39.70303880876357,1.6542932836984836,63.48992099012006,2.645413374588338,0.035995035940859045,0.027064305583976014,0.020417066539358823,0.021046239627291675,0.17781453146109244
201,6,6,1,61,61,76,1,7.082605029999286,7.80992564000007,0.625,0.6,5,0,5.4,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0,0,stay,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,25.22797257640185,16.1293595160602,21.070608441280232,6.653876349877968,0.07340196109349517,0.07888441941992166,0.0555761099323647,0.276094763840086,0.39174165590700644
201,7,7,1,18,7,1,3,11.291014630000973,4.63873223999963,0.125,0.2,5,0,4,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0,0.6470588235294118,compromise,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,7.444319776643169,33.91301231581889,0.661353343647084,65.47398102106132,0.05946079847356234,0.018549594661037686,0.026268966823781218,0.021046239627291675,2.6970747947633864
201,8,8,1,42,42,24,1,5.735085429999344,9.28839923999931,0.375,0.4,5,0,4.3,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,-0,stay,2.375,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,17.370079478834064,23.987252613627994,6.653876349877968,21.070608441280232,0.07419412404785002,0.07888441941992166,0.05625465719980591,0.276094763840086,0.5222399409970961
201,9,9,1,82,73,66,3,4.004941030000737,7.91030543999932,0.75,0.7555555555555555,45,0,4.3,9 9 9 9 9,8 7 4 7 8,1 2 5 2 1,0.5625,compromise,2,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,57.99112693620342,12.729759571361729,43.64932068070755,22.486013684000852,0.0455795857116183,0.05715966269799123,0.03712803067461504,0.021046239627291675,1.2036706365985614
201,10,10,1,25,33,43,2,6.621652929999982,10.0123259400007,0.375,0.37777777777777777,45,0,5.1,9 9 9 9 9,4 3 4 4 2,5 6 5 5 7,0.4444444444444444,compromise,2,8.27146641849241,1.57157525572367,27.7244847911582,19.2054247867751,0.276094763840086,17.68022162689129,53.04066488067386,20.17986111851132,26.750048459421986,0.05088583613037565,0.07011946986431762,0.042633588931342975,0.07622831861991287,0.8873092373314633
