sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating,trial_filter
201,1,1,1,8,10,25,2,10.974436329999662,8.17629898999985,0.125,0.13333333333333333,45,0,4.7,9 9 9 9 9,0 1 0 1 4,9 8 9 8 5,0.11764705882352941,compromise,2,1
201,3,3,1,47,47,65,1,3.044386130000021,14.1582665999995,0.625,0.6222222222222222,45,0,5.7,9 9 9 9 9,8 7 4 5 4,1 2 5 4 5,0,stay,2,1
201,4,4,1,21,31,38,3,15.967364029999771,11.1131365400006,0.25,0.2,5,0,5.4,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.5882352941176471,compromise,2.375,1
201,6,6,1,61,61,76,1,7.082605029999286,7.80992564000007,0.625,0.6,5,0,5.4,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0,0,stay,2.375,1
201,7,7,1,18,7,1,3,11.291014630000973,4.63873223999963,0.125,0.2,5,0,4,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0,0.6470588235294118,compromise,2.375,1
201,8,8,1,42,42,24,1,5.735085429999344,9.28839923999931,0.375,0.4,5,0,4.3,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,-0,stay,2.375,1
201,9,9,1,82,73,66,3,4.004941030000737,7.91030543999932,0.75,0.7555555555555555,45,0,4.3,9 9 9 9 9,8 7 4 7 8,1 2 5 2 1,0.5625,compromise,2,1
201,10,10,1,25,33,43,2,6.621652929999982,10.0123259400007,0.375,0.37777777777777777,45,0,5.1,9 9 9 9 9,4 3 4 4 2,5 6 5 5 7,0.4444444444444444,compromise,2,1
201,11,11,1,10,15,25,3,8.857652730000154,3.60703063999881,0.125,0.13333333333333333,45,0,6,9 9 9 9 9,0 2 1 1 2,9 7 8 8 7,0.3333333333333333,compromise,2,1
201,14,14,1,4,13,20,1,4.607590930000697,4.77124764000018,0.125,0.13333333333333333,45,0,5.1,9 9 9 9 9,0 3 0 1 2,9 6 9 8 7,0.5625,compromise,2,1
201,15,15,1,23,34,40,3,6.047828329999902,6.01911763999942,0.25,0.2,5,0,5.4,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.6470588235294118,compromise,2.375,1
201,17,17,1,36,45,53,3,7.642655430000559,6.46417788000053,0.375,0.4,5,0,5.8,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1,0.5294117647058824,compromise,2.375,1
201,18,18,1,51,52,67,1,4.721665829999438,7.55592144000002,0.625,0.6222222222222222,45,0,6,9 9 9 9 9,5 8 5 3 7,4 1 4 6 2,0.0625,compromise,2,1
201,21,21,1,91,87,74,2,6.209286630000861,3.91245476999939,0.75,0.8,5,0,5.3,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0,0.23529411764705882,compromise,2.375,1
201,22,22,1,44,34,27,1,3.324277030000303,4.67771744000038,0.375,0.37777777777777777,45,0,4.7,9 9 9 9 9,3 3 3 4 4,6 6 6 5 5,0.5882352941176471,compromise,2,1
201,23,23,1,49,63,65,3,9.599395530000038,2.99528123999971,0.75,0.8,5,0,4.6,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0,0.875,compromise,2.375,1
201,24,24,1,37,29,20,2,9.782659129999956,5.57534403999944,0.25,0.24444444444444444,45,0,5.6,9 9 9 9 9,1 1 4 3 2,8 8 5 6 7,0.47058823529411764,compromise,2,1
201,26,1,2,18,4,2,3,6.282396509999671,4.018012820000877,0.125,0.2,5,0,5.5,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.875,compromise,2.375,1
201,27,2,2,75,81,92,3,4.978080309999314,3.9204439800005275,0.75,0.7555555555555555,45,0,5.6,9 9 9 9 9,6 8 4 8 8,3 1 5 1 1,0.35294117647058826,compromise,2,1
201,28,3,2,16,16,32,1,7.788418209999691,2.630197479999879,0.25,0.2,5,0,4.8,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0,stay,2.375,1
201,29,4,2,57,67,75,3,10.04068591000032,3.2024519799997506,0.625,0.6,5,0,4.3,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1,0.5555555555555556,compromise,2.375,1
201,30,5,2,44,58,62,2,9.390838610000174,4.263998480000737,0.625,0.6222222222222222,45,0,4.8,9 9 9 9 9,6 6 6 6 4,3 3 3 3 5,0.7777777777777778,compromise,2,1
201,32,7,2,50,61,66,2,3.7402384099996198,2.449430979999306,0.625,0.6,5,0,4.7,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0,0.6875,compromise,2.375,1
201,33,8,2,43,56,60,3,2.915634709999722,2.149878379999791,0.625,0.6222222222222222,45,0,5.1,9 9 9 9 9,6 5 4 8 5,3 4 5 1 4,0.7647058823529411,compromise,2,1
201,34,9,2,40,34,25,2,4.957392409998647,3.0742273800005933,0.375,0.4,5,0,4.6,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1,0.4,compromise,2.375,1
201,37,12,2,97,92,80,1,17.249262410000483,3.573450980000416,0.75,0.7555555555555555,45,0,4.6,9 9 9 9 9,6 7 7 9 5,3 2 2 0 4,0.29411764705882354,compromise,2,1
201,43,18,2,49,41,33,2,9.510949710000205,2.914025980000588,0.125,0.2,5,0,5.4,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.5,compromise,2.375,1
201,46,21,2,15,3,1,2,3.6163734100009606,2.424092279999968,0.125,0.2,5,0,5.4,1 1 1 1 1,1 0 0 0 0,0 1 1 1 1,0.8571428571428571,compromise,2.375,1
201,47,22,2,5,15,20,3,4.982195810000121,2.317621379999764,0.25,0.24444444444444444,45,0,6,9 9 9 9 9,3 3 2 1 2,6 6 7 8 7,0.6666666666666666,compromise,2,1
201,48,23,2,8,20,25,1,4.882398109999485,12.879028779999317,0.125,0.2,5,0,4.3,1 1 1 1 1,1 0 0 0 0,0 1 1 1 1,0.7058823529411765,compromise,2.375,1
201,51,1,3,20,24,35,2,4.809150710000722,3.75328891000026,0.25,0.2,5,0,4.1,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.26666666666666666,compromise,2.375,1
201,52,2,3,34,48,50,3,3.817205410000497,1.88269127999956,0.375,0.4,5,0,4.4,1 1 1 1 1,0 1 1 0 0,1 0 0 1 1,0.875,compromise,2.375,1
201,53,3,3,42,42,25,1,5.053565710000839,3.29777348000061,0.25,0.24444444444444444,45,0,4.2,9 9 9 9 9,2 4 2 0 3,7 5 7 9 6,-0,stay,2,1
201,54,4,3,17,11,2,1,4.344939909999994,5.81499687999985,0.125,0.2,5,0,4,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.4,compromise,2.375,1
201,55,5,3,28,26,10,2,6.216040610000164,5.25337908999973,0.25,0.24444444444444444,45,0,4.2,9 9 9 9 9,4 0 2 2 3,5 9 7 7 6,0.1111111111111111,compromise,2,1
201,58,8,3,62,62,44,2,2.990898909999487,3.93833928000004,0.625,0.6,5,0,5.2,1 1 1 1 1,1 1 0 0 1,0 0 1 1 0,-0,stay,2.375,1
201,59,9,3,16,19,32,3,6.6131991100010055,3.55817057999957,0.25,0.24444444444444444,45,0,5.2,9 9 9 9 9,3 1 2 3 2,6 8 7 6 7,0.1875,compromise,2,1
201,60,10,3,19,21,37,2,2.124083210000208,1.87748207999994,0.25,0.2,5,0,5.7,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.1111111111111111,compromise,2.375,1
201,62,12,3,33,42,48,3,3.3909274099996765,6.73476878000019,0.375,0.37777777777777777,45,0,4.8,9 9 9 9 9,2 4 2 4 5,7 5 7 5 4,0.6,compromise,2,1
201,63,13,3,81,77,63,2,10.203426810000565,4.56048708000071,0.75,0.8,5,0,5.1,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.2222222222222222,compromise,2.375,1
