sID,trial_number,block_number,response,response_button,response_time,correct,outcome,previous_outcome,stay_shift,new_block,correct_polygon,rewarded_polygon,prob_triangle_rewarded,position_triangle
201,1,1,triangle,right,0.836730109998825,0,lose,[],[],1,circle,circle,0.2,right
201,2,1,circle,right,0.871934820001115,1,win,lose,shift,0,circle,circle,0.2,left
201,3,1,triangle,left,0.305986220000705,0,lose,win,shift,0,circle,circle,0.2,left
201,4,1,triangle,left,0.892046220000339,0,win,lose,stay,0,circle,triangle,0.2,left
201,5,1,circle,left,2.2927014199995,1,win,win,shift,0,circle,circle,0.2,right
201,6,1,triangle,right,0.455954819999533,0,win,win,shift,0,circle,triangle,0.2,right
201,7,1,circle,right,0.41704271999879,1,lose,win,shift,0,circle,triangle,0.2,left
201,8,1,triangle,right,0.641860220001035,0,win,lose,shift,0,circle,triangle,0.2,right
201,9,1,triangle,left,0.330951219999406,0,lose,win,stay,0,circle,circle,0.2,left
201,10,1,triangle,right,1.70605812000031,0,lose,lose,stay,0,circle,circle,0.2,right
201,11,1,circle,left,0.34206081999946,1,win,lose,shift,0,circle,circle,0.2,right
201,12,1,circle,right,1.56734391999998,1,win,win,stay,0,circle,circle,0.2,left
201,13,1,circle,right,0.51722792000146,1,win,win,stay,0,circle,circle,0.2,left
201,14,1,triangle,left,0.792200919999232,0,lose,win,shift,0,circle,circle,0.2,left
201,15,1,circle,left,0.810863520000566,1,win,lose,shift,0,circle,circle,0.2,right
201,16,1,triangle,right,0.856040820000999,0,lose,win,shift,0,circle,circle,0.2,right
201,17,2,circle,left,1.05603732000236,0,win,lose,shift,1,triangle,circle,0.8,right
201,18,2,triangle,left,1.08120622000024,1,lose,win,shift,0,triangle,circle,0.8,left
201,19,2,triangle,left,0.867336319999595,1,win,lose,stay,0,triangle,triangle,0.8,left
201,20,2,triangle,left,0.818658820000564,1,win,win,stay,0,triangle,triangle,0.8,left
201,21,2,triangle,right,0.38098071999957,1,win,win,stay,0,triangle,triangle,0.8,right
201,22,2,circle,left,0.335807020001084,0,lose,win,shift,0,triangle,triangle,0.8,right
201,23,2,circle,right,0.567039519999526,0,lose,lose,stay,0,triangle,triangle,0.8,left
201,24,2,circle,left,1.61747681999987,0,lose,lose,stay,0,triangle,triangle,0.8,right
201,25,2,triangle,left,0.981034020000152,1,win,lose,shift,0,triangle,triangle,0.8,left
201,26,2,circle,right,0.823563119998653,0,lose,win,shift,0,triangle,triangle,0.8,left
201,27,2,circle,left,0.492116020001049,0,lose,lose,stay,0,triangle,triangle,0.8,right
201,28,2,triangle,right,0.91736321999997,1,win,lose,shift,0,triangle,triangle,0.8,right
201,29,2,triangle,right,0.591976620000423,1,lose,win,stay,0,triangle,circle,0.8,right
201,30,2,circle,left,0.491967920001116,0,lose,lose,shift,0,triangle,triangle,0.8,right
201,31,2,circle,left,0.491825119997884,0,lose,lose,stay,0,triangle,triangle,0.8,right
201,32,2,triangle,right,0.33107272000052,1,win,lose,shift,0,triangle,triangle,0.8,right
201,33,3,triangle,right,0.292202319998978,0,lose,win,stay,1,circle,circle,0.5,right
201,34,3,circle,left,0.342070720000265,1,lose,lose,shift,0,circle,triangle,0.5,right
201,35,3,triangle,right,0.431003120000241,0,win,lose,shift,0,circle,triangle,0.5,right
201,36,3,circle,right,0.656067320000147,1,lose,win,shift,0,circle,triangle,0.5,left
201,37,3,circle,right,1.49200431999998,1,win,lose,stay,0,circle,circle,0.5,left
201,38,3,circle,right,1.28113001999918,1,win,win,stay,0,circle,circle,0.5,left
201,39,3,triangle,left,1.07267972000045,0,lose,win,shift,0,circle,circle,0.5,left
201,40,3,circle,left,0.573433019999356,1,win,lose,shift,0,circle,circle,0.5,right
201,41,3,circle,left,0.455719420000605,1,win,win,stay,0,circle,circle,0.5,right
201,42,3,triangle,left,0.506170319999001,0,lose,win,shift,0,circle,circle,0.5,left
201,43,3,triangle,left,1.05547172000115,0,lose,lose,stay,0,circle,circle,0.5,left
201,44,3,circle,left,0.696883919999891,1,lose,lose,shift,0,circle,triangle,0.5,right
201,45,3,triangle,left,1.25625961999867,0,lose,lose,shift,0,circle,circle,0.5,left
201,46,3,circle,right,0.321737920001397,1,lose,lose,shift,0,circle,triangle,0.5,left
201,47,3,triangle,left,0.406151319999481,0,win,lose,shift,0,circle,triangle,0.5,left
201,48,3,circle,left,2.66727671999979,1,win,win,shift,0,circle,circle,0.5,right
201,49,4,triangle,left,1.95597631999954,1,win,win,shift,1,triangle,triangle,0.8,left
201,50,4,triangle,right,2.31067511999936,1,win,win,stay,0,triangle,triangle,0.8,right
201,51,4,triangle,right,2.25626172000011,1,lose,win,stay,0,triangle,circle,0.8,right
201,52,4,triangle,left,2.10619902000144,1,lose,lose,stay,0,triangle,circle,0.8,left
201,53,4,circle,left,3.32252212000094,0,lose,lose,shift,0,triangle,triangle,0.8,right
201,54,4,circle,right,1.4311419200003,0,lose,lose,stay,0,triangle,triangle,0.8,left
201,55,4,triangle,left,2.56723201999921,1,win,lose,shift,0,triangle,triangle,0.8,left
201,56,4,circle,left,1.04192392000004,0,win,win,shift,0,triangle,circle,0.8,right
201,57,4,circle,right,1.15663622000102,0,win,win,stay,0,triangle,circle,0.8,left
201,58,4,circle,left,1.98118061999958,0,win,win,stay,0,triangle,circle,0.8,right
201,59,4,circle,left,2.54316311999901,0,lose,win,stay,0,triangle,triangle,0.8,right
201,60,4,triangle,left,1.37125941999875,1,win,lose,shift,0,triangle,triangle,0.8,left
201,61,4,triangle,right,1.94246862000182,1,win,win,stay,0,triangle,triangle,0.8,right
201,62,4,circle,right,2.89221091999934,0,lose,win,shift,0,triangle,triangle,0.8,left
201,63,4,circle,left,1.4357776199995,0,lose,lose,stay,0,triangle,triangle,0.8,right
201,64,4,triangle,right,0.96712972000023,1,lose,lose,shift,0,triangle,circle,0.8,right
201,65,5,circle,left,0.806013219998931,1,win,lose,shift,1,circle,circle,0.2,right
201,66,5,circle,left,0.567275220000738,1,win,win,stay,0,circle,circle,0.2,right
201,67,5,circle,left,0.581149920000826,1,win,win,stay,0,circle,circle,0.2,right
201,68,5,circle,right,0.355939519999083,1,win,win,stay,0,circle,circle,0.2,left
201,69,5,circle,left,0.323138920000929,1,win,win,stay,0,circle,circle,0.2,right
201,70,5,triangle,left,0.341916319997836,0,lose,win,shift,0,circle,circle,0.2,left
201,71,5,triangle,right,0.435826019998785,0,win,lose,stay,0,circle,triangle,0.2,right
201,72,5,circle,left,0.342149319998498,1,win,win,shift,0,circle,circle,0.2,right
201,73,5,circle,left,0.30598012000155,1,win,win,stay,0,circle,circle,0.2,right
201,74,5,circle,right,0.535734119999688,1,win,win,stay,0,circle,circle,0.2,left
201,75,6,circle,right,0.305910519999088,0,lose,win,stay,1,triangle,triangle,0.8,left
201,76,6,triangle,left,0.430796620001274,1,win,lose,shift,0,triangle,triangle,0.8,left
201,77,6,circle,left,0.392058620000171,0,win,win,shift,0,triangle,circle,0.8,right
201,78,6,triangle,right,0.56704191999961,1,win,win,shift,0,triangle,triangle,0.8,right
201,79,6,triangle,left,0.305754020000677,1,win,win,stay,0,triangle,triangle,0.8,left
201,80,6,triangle,right,0.260883920000197,1,lose,win,stay,0,triangle,circle,0.8,right
201,81,6,circle,left,0.33086072000151,0,lose,lose,shift,0,triangle,triangle,0.8,right
201,82,6,triangle,right,0.26695072000075,1,win,lose,shift,0,triangle,triangle,0.8,right
201,83,6,circle,right,0.230901320001067,0,win,win,shift,0,triangle,circle,0.8,left
201,84,6,triangle,right,0.241920820000814,1,win,win,shift,0,triangle,triangle,0.8,right
201,85,6,triangle,left,0.33103532000132,1,win,win,stay,0,triangle,triangle,0.8,left
201,86,7,triangle,right,0.285845020000124,0,win,win,stay,1,circle,triangle,0.5,right
201,87,7,circle,right,0.367058019999604,1,win,win,shift,0,circle,circle,0.5,left
201,88,7,triangle,right,0.256683920000796,0,lose,win,shift,0,circle,circle,0.5,right
201,89,7,triangle,left,0.323198020001655,0,lose,lose,stay,0,circle,circle,0.5,left
201,90,7,triangle,right,0.266847119999511,0,lose,lose,stay,0,circle,circle,0.5,right
201,91,7,circle,left,0.267141820000688,1,win,lose,shift,0,circle,circle,0.5,right
