sID,trialNumber,response_times,correct_order,click_order,response_correct
201,1,"[1.0467843999995239, 1.5471534999996948]","[1, 3]","[1, 3]",True
201,2,"[1.5310260000005655, 2.231110400000034]","[7, 5]","[7, 5]",True
201,3,"[0.8640300000006391, 1.331063900001027]","[3, 8]","[3, 8]",True
201,4,"[0.7967379999990953, 1.4143360999987635, 2.1805850000000646]","[1, 7, 1]","[1, 7, 1]",True
201,5,"[0.7981961000004958, 1.2143625999997312, 1.6976950000007491]","[8, 7, 5]","[8, 7, 5]",True
201,6,"[0.7641406000002462, 1.2303668000004109, 1.6975617999996757]","[7, 3, 1]","[7, 3, 1]",True
201,7,"[0.7140383000005386, 1.1140343000006396, 1.5972547000001214, 2.0806424000002153]","[3, 3, 4, 2]","[3, 3, 4, 2]",True
201,8,"[0.7308634000000893, 1.4801351000005525, 2.0643211000005977, 2.4645476000005146]","[7, 1, 4, 4]","[7, 1, 4, 4]",True
201,9,"[0.8976942999997846, 1.347826499999428, 1.9972524000004341, 2.3474141000006057]","[8, 7, 4, 3]","[8, 7, 4, 3]",True
201,10,"[0.564008900000772, 1.2138063000002148, 1.5812540000006265, 2.263870599999791, 2.831276400000206]","[5, 3, 3, 2, 5]","[5, 3, 3, 2, 5]",True
201,11,"[0.5309787999995024, 1.1138420999996015, 1.5978291999999783, 1.8970880999986548, 2.3638539999992645]","[3, 2, 3, 3, 1]","[3, 2, 3, 3, 1]",True
201,12,"[0.8136082000000897, 1.297967399999834, 1.8644102999987808, 2.2477268999991793, 2.7978751999999076]","[3, 4, 8, 7, 8]","[3, 4, 8, 7, 8]",True
201,13,"[0.780337199999849, 1.2975138000001607, 1.8807599000010669, 2.180505300000732, 2.6645470000003115, 3.363834700001462]","[3, 4, 3, 5, 5, 2]","[3, 4, 3, 3, 5, 2]",False
201,14,"[1.3472160000001168, 2.1311877999996796, 2.4975919000007707, 3.1145078000008652, 3.5314278999994713, 6.281578399999489]","[2, 6, 6, 5, 6, 6]","[2, 6, 6, 5, 6, 6]",True
201,15,"[1.797764000000825, 2.3800960000007763, 2.6802538000010827, 3.2142296000001807, 3.664698900000076, 5.681579600000987]","[8, 0, 0, 5, 8, 0]","[8, 0, 0, 5, 8, 0]",True
201,16,"[4.264698499999213, 4.830741300000227, 5.581471800000145, 6.115139199999248, 6.71411949999856, 7.031522199999017, 7.598269500000242]","[4, 6, 1, 5, 0, 0, 2]","[4, 1, 6, 5, 0, 0, 2]",False
201,17,"[1.714497199998732, 2.7475481999990734, 3.3477535999991233, 4.430781599998227, 4.9313022999995155, 5.247618199999124, 6.014407399999982]","[6, 5, 6, 1, 4, 3, 3]","[6, 5, 6, 1, 4, 3, 3]",True
201,18,"[1.2476081000004342, 1.8469861000012315, 2.4809249000009004, 4.0476206000003, 4.764135299999907, 5.0817244999998366, 5.398161000000982]","[5, 2, 6, 7, 6, 0, 8]","[5, 2, 6, 2, 0, 8, 7]",False
201,19,"[4.74908030000006, 5.1814376000002085, 5.665000000000873, 6.181714099999226, 6.41464889999952, 9.332013999999617, 10.181748200000584, 10.498284299999796]","[7, 5, 5, 4, 8, 7, 2, 3]","[7, 4, 8, 5, 5, 7, 2, 3]",False
201,20,"[2.6811367999998765, 3.164173999999548, 3.648020299999189, 4.114069900000686, 4.714858800000002, 5.597860899999432, 6.198500799999238, 6.731243399999585]","[8, 7, 3, 7, 6, 2, 6, 4]","[7, 3, 8, 2, 6, 2, 6, 4]",False
201,21,"[1.6809319000003597, 7.415043400000286, 7.915002399999139, 8.414969399998881, 8.881368199999997, 9.464631999999256, 10.53131409999878, 11.181765799999994]","[4, 3, 6, 5, 2, 1, 7, 3]","[3, 6, 5, 4, 2, 1, 0, 3]",False
202,1,"[1.2309424999994008, 2.030565399999432]","[5, 1]","[5, 1]",True
202,2,"[0.8303886000003331, 1.3306848000001992]","[2, 2]","[2, 2]",True
202,3,"[0.8304551000001084, 1.3305661000003965]","[2, 2]","[2, 2]",True
202,4,"[1.197283399999833, 1.8640489999997953, 2.4985846999998103]","[3, 0, 7]","[3, 0, 7]",True
202,5,"[0.8302466000004642, 1.4137882000004538, 2.1148611000007804]","[1, 2, 3]","[1, 2, 3]",True
202,6,"[1.3312488000001395, 1.9813190999993822, 2.61464849999993]","[5, 8, 6]","[5, 8, 6]",True
202,7,"[0.6303168000004007, 1.297204700000293, 1.9636528999999427, 2.2972742000001745]","[1, 2, 0, 0]","[1, 2, 0, 0]",True
202,8,"[0.7809864999999263, 1.4136984999995548, 2.164629099999729, 2.7145402999994985]","[6, 0, 7, 6]","[6, 0, 7, 6]",True
202,9,"[1.1811198000004879, 1.813600100000258, 2.26370980000047, 3.0478172000002814]","[7, 0, 0, 5]","[7, 0, 0, 5]",True
202,10,"[1.6148481000000174, 2.181246099999953, 7.148089700000128, 7.881667300000117, 8.415043999999398]","[7, 4, 7, 0, 4]","[4, 7, 0, 4, 4]",False
202,11,"[0.6311823999994886, 1.2306566999995994, 1.9476999999997133, 2.598023900000044, 2.997718900000109]","[6, 3, 5, 7, 2]","[6, 3, 5, 7, 2]",True
202,12,"[1.1646073000001707, 1.8483495000000403, 2.447420100000272, 3.047653900000114, 3.5649514000006093]","[8, 5, 0, 4, 8]","[8, 5, 0, 4, 8]",True
202,13,"[0.9810498999995616, 1.2141044999998485, 1.9809867000003578, 2.647703300000103, 2.847635999999511, 3.8475969999999506]","[3, 3, 4, 3, 3, 2]","[3, 3, 4, 3, 3, 2]",True
202,14,"[0.9472837999992407, 1.847546699999839, 2.6637222999997903, 3.4813451999998506, 4.282749799999692, 4.648637399999643]","[1, 4, 0, 4, 5, 5]","[1, 4, 0, 4, 5, 5]",True
202,15,"[1.3645698000000266, 2.014635200000157, 2.797188300000016, 3.432115999999951, 4.4147493999998915, 4.881406000000425]","[7, 7, 0, 7, 5, 5]","[7, 7, 0, 7, 5, 5]",True
202,16,"[0.9818388999992749, 2.015767099999721, 3.231499900000017, 4.197361999999885, 6.498827800000072, 6.981483699999444, 7.648882199999207]","[6, 5, 7, 0, 5, 3, 8]","[6, 5, 7, 0, 6, 3, 8]",False
202,17,"[5.864322999999786, 6.848889500000041, 7.464828900000612, 8.097950100000162, 8.715079200000218, 9.249010999999882, 9.38305500000024]","[1, 7, 3, 0, 1, 8, 8]","[1, 7, 3, 0, 1, 8, 8]",True
202,18,"[1.1475249999994048, 2.231792499999756, 3.4982812999996895, 5.248095199999625, 6.031328199999734, 6.93232480000006, 7.999267199999849]","[1, 8, 8, 2, 3, 8, 2]","[1, 8, 8, 2, 3, 8, 8]",False
202,19,"[0.9807167999997546, 1.9145706999997856, 2.964427099999739, 4.0983339999993404, 5.281861399999798, 6.631431599999814, 7.3819667999996454, 8.08217969999987]","[4, 7, 4, 8, 6, 4, 5, 7]","[4, 7, 4, 8, 6, 4, 7, 5]",False
202,20,"[1.3477057999998578, 1.780925500000194, 2.647843499999908, 3.39863940000032, 4.031487100000049, 4.697452600000361, 5.281006899999738, 6.1314400000001115]","[5, 5, 6, 4, 4, 7, 1, 2]","[5, 5, 6, 4, 7, 1, 2, 2]",False
202,21,"[2.231789899999967, 2.998070800000278, 3.9811922999997478, 4.748141299999588, 6.298991300000125, 6.698739299999943, 7.265318599999773, 7.4986229999994976]","[4, 7, 5, 3, 8, 8, 5, 8]","[4, 7, 5, 3, 8, 8, 5, 5]",False
203,1,"[0.8638159000001906, 1.330886400000054]","[3, 3]","[3, 3]",True
203,2,"[1.4312726000007387, 1.8642305000003034]","[3, 3]","[3, 3]",True
203,3,"[0.947613000000274, 1.7308238000005076]","[4, 5]","[4, 5]",True
203,4,"[0.7644180999996024, 1.364078900000095, 1.9813859999994747]","[6, 3, 7]","[6, 3, 7]",True
203,5,"[0.7477555000004941, 1.1974631000002773, 1.6645540999998047]","[7, 5, 8]","[7, 5, 8]",True
203,6,"[0.798234599999887, 1.198111499999868, 1.6485892000000604]","[8, 7, 2]","[8, 7, 2]",True
203,7,"[0.48020939999969414, 0.9137210999997478, 1.3487819000001764, 1.7475378999997702]","[1, 2, 4, 4]","[1, 2, 4, 4]",True
203,8,"[0.7643782999994073, 1.1479526999992231, 1.6304757999996582, 2.064044899999317]","[7, 7, 2, 3]","[7, 7, 2, 3]",True
203,9,"[0.6305699999993521, 0.9804833999996845, 1.6647386999993614, 2.1645595999998477]","[3, 3, 8, 2]","[3, 3, 8, 2]",True
203,10,"[0.7639565999998013, 1.313789199999519, 1.7637491999994381, 2.1474192999994557, 2.7973093000000517]","[4, 3, 2, 4, 2]","[4, 3, 2, 4, 2]",True
203,11,"[0.613300099999833, 1.3143494000005376, 1.7970883999996659, 2.163667499999974, 2.8808770000005097]","[0, 6, 2, 1, 4]","[0, 6, 2, 1, 4]",True
203,12,"[0.8312724999996135, 1.4640042999999423, 1.947738500000014, 2.530436899999586, 3.1142753999993147]","[6, 0, 5, 1, 4]","[6, 0, 5, 1, 4]",True
203,13,"[0.7134874000003038, 1.2825143000000025, 1.864511400000083, 2.3317667000001165, 2.714759999999842, 3.331324499999937]","[0, 8, 5, 8, 6, 2]","[0, 6, 5, 8, 5, 2]",False
203,14,"[0.6145316000001912, 1.2805984999995417, 1.813553299999512, 2.3637587000002895, 2.914219399999638, 3.430780599999707]","[8, 3, 0, 1, 4, 1]","[8, 3, 0, 1, 4, 1]",True
